ra,dec,RAdeg_OC,DECdeg_OC,freqc,w50,snr,flux,rms,distance,HImass,code
140.22949,26.04823,140.23854,26.08996,1332.11112,86,11.2,0.43,1.34,308.2,9.95,3
140.32251,26.70889,140.32333,26.71,1374.4,177,16,1.8,2.78,152.1,10.1,1
140.49709,26.085,140.49417,26.08417,1353.63113,119,7.5,0.63,2.34,226.7,9.86,1
140.51514,26.7771,140.53089,26.732,1317.43217,112,7.1,0.25,2.41,366.5,9.86,3
140.68042,25.93056,140.67084,25.93472,1353.552653,203,5.6,0.81,2.29,215.4,9.95,5
140.70876,26.63861,140.70667,26.63778,1357.76742,104,8.2,0.86,1.84,211.5,9.94,1
140.73486,26.23522,140.74437,26.24951,1331.01249,90,17.5,0.46,0.98,312.5,9.99,2
140.75333,26.29917,140.75917,26.29833,1360.828296,301,5.1,0.87,2.2,191.4,9.88,5
140.79707,26.81639,140.79584,26.8175,1408.77397,153,29.5,2.79,2.16,36.8,8.99,1
140.8667,26.02747,,,1380.02372,99,8.8,0.33,1.11,132.5,9.12,4
140.95459,26.65183,140.97415,26.64083,1403.61381,63,8.1,0.36,1.48,53.5,8.38,3
140.97656,26.63096,140.97415,26.64083,1358.66141,168,10.8,0.58,1.2,208.3,9.81,3
140.97656,26.17286,,,1417.46879,114,6.1,0.21,1.83,9.2,6.62,4
140.97656,26.17286,,,1331.8975,95,12,0.27,0.8,309.1,9.76,4
140.985,26.67111,140.99083,26.66556,1403.75257,71,7,0.69,1.86,53,8.6,1
141.00164,26.36389,141.0034,26.32235,1326.42722,50,8.3,0.82,3.39,330.5,10.33,3
141.02051,26.92344,141.03894,26.92315,1333.72855,109,9.7,1.11,1.77,302,10.35,3
141.22916,26.77444,141.23041,26.77472,1401.26909,607,60.7,17.68,2.07,61.1,10.15,1
141.24023,26.08976,141.20179,26.10193,1311.66434,440,27.5,2.19,1.2,390,10.86,3
141.28418,26.71445,141.26437,26.69979,1402.21,195,12.6,1.04,2.26,58.1,8.91,3
141.30615,25.98597,141.31429,25.99572,1364.18509,80,11.3,0.41,1.12,188.3,9.52,3
141.45996,26.38086,,,1407.48954,263,16.5,0.54,1.67,40.9,8.4,4
141.45996,27.04902,141.43981,27.06447,1317.46268,116,9.7,1.01,3.65,366.4,10.47,3
141.50391,27.00714,141.47876,26.98674,1398.30375,116,17.5,1.36,2.2,70.9,9.2,3
141.52583,25.75722,141.52,25.75417,1374.80847,421,5.2,1.2,2.45,146,9.78,5
141.57375,26.40083,141.56291,26.40944,1354.318925,126,5.8,0.66,2.25,212.9,9.85,5
141.61667,26.57389,141.60417,26.57556,1361.90729,317,13.7,2.39,1.64,196.5,10.32,1
141.625,26.29167,141.63376,26.29722,1354.448158,328,4.9,1.03,2.57,212.5,10.04,5
141.63,26.88722,141.62582,26.88722,1359.46545,93,5,0.29,2.22,205.3,9.5,1
141.65417,26.57361,141.66042,26.58583,1362.34271,145,14.4,1.36,1.54,194.9,10.06,1
141.67969,26.58924,141.66063,26.58577,1362.35404,273,7,0.38,1.75,194.9,9.51,2
141.83548,25.77952,,,1392.78007,111,9.9,0.96,2.18,89.2,9.26,4
141.85547,25.84082,141.89428,25.84941,1392.53592,108,17.4,1.61,1.48,90,9.48,3
141.85547,26.00672,141.86776,26.01436,1331.80594,79,17.5,0.52,0.93,309.4,10.07,3
141.96533,26.8189,141.9466,26.82145,1317.43217,97,6.3,0.2,2.94,366.5,9.78,3
141.96834,25.95528,141.96625,25.94917,1387.4224,62,8.2,0.6,2.07,105.7,9.2,5
142.00415,26.32472,141.99792,26.32445,1358.61157,230,6.9,1.45,2.22,208.4,9.97,1
142.01082,26.51694,142.01041,26.51583,1362.89172,241,11,1.51,1.5,192.9,10.11,1
142.03125,26.96528,142.05974,26.92535,1317.43217,114,23.8,1.61,1.83,366.5,10.67,3
142.05916,26.33111,142.06999,26.32695,1358.64189,129,5.9,1.26,2.2,208.3,9.93,1
142.11914,26.04823,142.12382,26.01275,1417.19413,99,12.1,0.87,2.08,10.1,7.32,3
142.15927,26.21448,,,1417.04154,121,5,0.36,1.23,9.2,6.86,4
142.18506,26.23522,,,1395.8318,120,9.1,0.41,1.15,81.1,8.8,4
142.18548,26.0268,142.21385,26.04205,1335.3765,308,41.4,2.83,1.08,295.6,10.74,3
142.25098,26.00672,142.20466,25.98461,1379.77958,103,5.4,0.2,1.02,133.4,8.92,3
142.30209,26.44528,142.30209,26.44528,1360.50281,279,11.7,1.21,1.94,201.6,10.01,1
142.30917,26.79778,142.31168,26.79611,1357.77607,227,10.7,1.83,1.64,211.5,10.06,1
142.31401,26.02481,,,1372.15018,90,15.7,1.77,2.91,159.9,10.03,4
142.31401,26.02481,142.36221 ,26.00099 ,1355.9835,181,8.6,1.63,0.46,218,10.26,3
142.33887,26.17286,142.38257,26.13763,1331.50077,89,8.8,0.22,1,310.6,9.68,3
142.55859,26.17286,142.55783,26.21234,1363.63578,99,6.2,0.23,1.07,190.3,9.28,3
142.5704,26.63778,142.57291,26.64167,1358.27378,304,16.7,2.56,1.74,209.7,10.4,1
142.60791,26.83806,142.60167,26.82833,1343.046477,329,4.7,1.12,2.97,250.6,10.22,5
142.72626,25.75694,142.7225,25.74944,1387.386238,284,11.5,1.85,2.12,105.9,9.69,5
142.76041,26.82389,142.75667,26.81972,1361.87247,410,7.2,1.99,1.23,196.6,10.2,1
142.88667,26.20472,142.89499,26.21056,1396.3467,84,6.3,0.66,1.27,77.3,8.92,1
143.09917,27.00417,143.10335,27.00361,1374.05432,141,10.2,1.25,2.88,153.3,9.87,1
143.20584,26.625,143.20375,26.61972,1385.273985,97,6.7,0.62,2.06,112.6,9.27,5
143.53082,26.03667,143.52124,26.02667,1373.526895,136,8.4,0.91,2.07,150.2,9.68,5
143.74707,25.92167,143.74916,25.91861,1374.142994,362,11.2,2.15,2.25,148.2,10.05,5
143.74707,25.82917,143.74625,25.82556,1401.934171,62,4.7,0.41,2.46,58.4,8.52,5
143.87695,26.46417,143.89565,26.44974,1362.35404,109,10.3,0.49,1.67,194.9,9.63,3
143.88582,27.04389,143.89041,27.05722,1381.86552,94,8.3,1.12,3.15,126.2,9.5,1
143.94287,26.11053,143.91206,26.08996,1363.3306,83,7.9,0.26,1.1,191.4,9.34,3
144.14062,26.96528,144.16735,26.95835,1317.37113,118,14,1.33,2.08,366.7,10.59,3
144.19751,26.47917,144.20209,26.47556,1359.294885,329,6.5,1.14,2.18,196.5,10.02,5
144.29416,27.05667,144.29584,27.04194,1374.15623,90,13.2,1.9,3.02,152.9,9.47,1
144.29443,26.98621,144.30578,26.99141,1361.83524,100,21.3,1.13,1.69,196.7,9.99,3
144.31641,27.04902,144.28896,27.05485,1317.40165,116,12.3,1.28,3.25,366.6,10.8,3
144.33792,25.89917,144.33583,25.8975,1374.86562,247,9.2,1.64,2.21,150.4,9.92,1
144.38232,26.19364,144.40094,26.18877,1332.20267,111,11.2,0.41,1.02,307.9,9.93,3
144.43584,26.08917,144.41585,26.10528,1359.66065,111,5.4,0.4,1.27,204.6,9.66,1
144.56332,26.67889,144.57249,26.68472,1361.62443,310,11.8,1.62,1.73,197.5,10.15,1
144.58008,26.96528,144.58283,26.97078,1365.86356,87,11.5,0.74,1.94,182.3,9.75,3
144.60205,26.7771,144.64141,26.75623,1361.80472,100,10.2,0.43,1.52,196.9,9.58,3
144.646,26.98621,144.65483,27.00701,1333.69803,105,13.3,1.65,1.85,302.1,10.52,3
144.68666,26.46028,144.67584,26.45917,1360.932676,200,8.9,1.25,2.23,191.2,10.03,5
144.73541,26.4725,144.735,26.47361,1386.708533,83,9.1,0.82,2.2,108.1,9.35,5
144.76958,26.46222,144.77916,26.46972,1360.137181,434,8.3,1.79,2.22,193.8,10.2,5
144.81458,25.90306,144.81541,25.90472,1373.792769,209,6.7,0.91,2.11,149.3,9.68,5
144.82178,26.98621,144.81556,26.98076,1333.637,101,16.4,1.04,1.98,302.3,10.32,3
144.83499,26.145,144.83458,26.13722,1362.41675,259,10.7,1.78,2.16,194.7,10.18,1
144.86249,26.65111,144.86957,26.64472,1360.61576,129,6,0.76,2.17,201.2,9.8,1
145.08376,26.74833,145.08583,26.74917,1401.21379,158,12.6,2.59,1.97,61.3,9.28,1
145.10742,27.00714,145.12738,27.03056,1397.84598,83,8.6,0.55,1.86,72.4,8.83,3
145.17334,27.02808,145.15763,27.04297,1316.91337,79,7.9,0.31,2.47,368.6,9.97,3
145.19531,26.54753,,,1331.92801,109,10.1,0.29,1.03,309,9.78,4
145.20168,26.92028,145.21042,26.92528,1349.25076,93,8.7,0.62,1.95,242.9,9.99,1
145.21729,27.02808,145.20322,26.99638,1316.88285,75,12.5,0.7,2.45,368.7,10.31,3
145.23926,25.79938,145.25772,25.83503,1364.00199,45,7.2,0.76,2.29,188.9,9.79,3
145.32715,26.96528,,,1397.6934,80,14.2,0.67,1.74,72.9,8.91,4
145.34912,26.02747,145.38001,26.03416,1391.8035,56,7.4,1.23,1.72,92.5,9.38,3
145.41196,25.84161,145.42208,25.84688,1331.65336,73,8.7,0.5,1.71,310,10.05,3
145.43701,26.15208,145.47607 ,26.12961 ,1363.54423,77,12.6,0.48,1.05,190.6,9.59,3
145.44833,25.78583,145.44833,25.78555,1373.89926,239,17.7,7.33,3.82,153.8,10.66,1
145.45898,27.04902,145.4591,27.04514,1316.88285,88,14.3,1.06,2.68,368.7,10.5,3
145.45898,26.58924,145.45097,26.60777,1361.10282,127,5.8,0.41,3.76,199.4,9.89,3
145.48625,26.19167,145.49083,26.19028,1360.61576,170,9.9,0.58,2.27,201.2,9.81,1
145.50293,26.08976,145.52860 ,26.11560 ,1331.40922,72,13.2,0.49,1.11,311,10.01,3
145.51834,26.03917,145.51625,26.04472,1374.546639,224,7.2,1.09,2.25,146.9,9.74,5
145.63477,27.04902,145.64894,27.02091,1316.85233,85,16.8,1.14,2.91,368.8,10.53,3
145.70332,26.08083,145.70209,26.08,1381.05528,269,11.4,1.86,2.22,126.1,9.84,5
145.80458,26.35361,145.79791,26.36194,1360.354437,177,5,0.62,2.07,193.1,9.74,5
145.92123,26.33611,145.91666,26.3425,1360.28132,453,8.2,2.12,2.77,202.4,10.3,1
146.03027,27.00714,146.0446,27.03391,1365.52787,68,5.2,0.2,1.9,183.5,9.2,3
146.07251,26.66417,146.06958,26.66778,1359.711561,411,5.7,1.16,2.21,195.2,10.02,5
146.15627,26.19028,146.15791,26.18972,1387.99152,262,11.4,1.28,2.38,105.3,9.51,1
146.20605,26.17286,,,1392.26127,92,8.2,0.58,1.31,90.9,9.05,4
146.25,27.04902,146.25245,27.06495,1377.918,88,7.5,0.8,2.65,139.8,9.55,3
146.25,26.17286,146.22175,26.15783,1367.20634,112,9.9,0.35,1.41,177.5,9.4,3
146.28041,25.78639,146.27083,25.77583,1401.717275,132,4.6,0.65,2.74,59.2,8.73,5
146.40381,26.11053,146.42372,26.08711,1359.63798,205,19.6,0.97,1,204.7,9.96,2
146.51367,26.17286,146.4905,26.21504,1367.20634,141,7.3,0.2,1.75,177.5,9.17,3
146.60156,26.96528,146.64652,26.94119,1317.06595,179,8.3,0.99,1.98,368,10.47,3
146.66748,26.98621,146.6493,26.94131,1316.9744,112,13.1,0.89,1.76,368.3,10.42,3
146.68945,25.79938,146.72197,25.7924,1380.512,139,13.5,1.16,2.14,130.8,9.66,3
