ra,dec,RAdeg_OC,DECdeg_OC,freqc,w50,snr,flux,rms,distance,HImass,code
155.54443,26.69357,155.55479,26.65114,1333.60648,127,7.3,0.67,1.82,302.4,10.13,3
155.56641,25.84082,155.59322,25.8191,1363.54423,124,15.5,1.06,1.48,190.6,9.94,3
155.58424,26.14915,155.59169,26.14475,1322.83378,240,7,0.2,1.7,344.8,9.75,3
155.61035,26.96528,155.59521,26.95391,1316.60819,90,16.3,1.06,2.17,369.8,10.5,3
155.72021,26.27681,155.68249,26.29801,1417.52982,34,7.1,0.65,1.7,9,7.09,3
155.74219,26.25601,,,1380.48148,96,11,0.41,1.29,131,9.42,4
155.89499,25.80222,155.89708,25.80583,1356.329123,287,5.3,0.88,2.21,206.6,9.95,5
155.93994,26.6101,155.93096,26.63464,1361.37748,108,16.8,0.76,1.3,198.4,9.83,3
155.96083,26.21278,155.95917,26.21722,1397.23952,163,13.8,0.8,1.95,74.4,9.01,1
156.02783,25.86154,156.02863,25.85506,1363.36112,93,10,0.92,2.38,191.3,9.88,3
156.08998,26.94305,156.09874,26.94583,1396.92805,162,9,1.38,1.83,75.4,9.25,1
156.10249,25.94139,156.10333,25.94305,1356.182255,256,4.8,0.76,2.2,207.1,9.89,5
156.20361,26.69357,156.21884,26.69448,1397.81547,160,15.4,0.8,1.27,72.5,8.99,3
156.24756,26.52669,,,1333.02665,119,15.1,0.53,1.3,304.7,10.24,4
156.37939,26.90252,156.39472,26.90718,1316.82181,103,10.5,0.66,2.7,369,10.29,3
156.42334,26.69357,156.40564,26.66584,1397.75443,162,31.2,1.61,1.53,72.7,9.29,3
156.43791,26.66278,156.44,26.66444,1368.0856,108,6.5,0.33,1.9,174.3,9.35,1
156.59912,26.90252,156.61623,26.91535,1397.8765,103,12.2,0.53,1.49,72.3,8.8,3
156.68701,26.52669,156.65203,26.49703,1348.8652,160,15,0.28,1.51,242.3,9.59,3
156.76958,26.86222,156.75958,26.86111,1353.66553,85,6.5,0.73,1.08,226.6,9.75,1
156.81708,26.54444,156.82167,26.53333,1391.111854,358,4.9,1,2.44,94.5,9.32,5
156.86279,27.06996,156.88618,27.0692,1317.09647,73,12.9,1.11,5.98,367.8,10.52,3
156.88477,26.25601,,,1396.86942,109,10.8,0.54,1.21,75.6,9,4
157.09958,25.88111,157.08916,25.86806,1349.003083,290,6,1.24,2.71,231,10.19,5
157.12646,26.52669,157.133,26.53709,1348.83475,169,20.6,0.81,1.03,244.5,10.03,3
157.17041,26.7771,157.21679,26.79295,1395.89286,177,31.6,2.05,1.29,78.9,9.47,3
157.19238,27.00714,157.19171,27.0042,1410.87699,74,11.2,0.58,1.94,30.1,8.09,3
157.20833,27.01111,157.20833,27.00778,1410.9477,84,8.6,0.55,1.95,29.9,8.16,1
157.21436,26.52669,157.25798,26.51084,1332.81302,127,21.9,0.89,1.08,305.5,10.26,3
157.21707,26.79639,157.21666,26.79278,1396.07679,192,31.8,3.68,1.78,78.2,9.71,1
157.22249,26.33306,157.21957,26.33583,1390.29203,210,18.8,3.31,2.47,97.6,9.86,1
157.28027,26.1313,157.31996 ,26.11530 ,1414.84427,130,8.7,0.3,1.19,17.5,7.22,3
157.28375,26.90417,157.27667,26.91055,1417.35843,21,6.9,0.52,4.35,9.5,6.8,1
157.32251,26.09778,157.32042,26.09833,1396.722,460,34.2,7.25,2.3,76.1,9.98,1
157.58583,26.27222,157.5825,26.26889,1390.80479,164,33.1,3.9,2.18,95.8,9.91,1
157.63184,26.6727,157.6265,26.70103,1349.17045,105,20.9,1.16,1.25,243.2,10.19,3
157.63184,26.25601,157.6297,26.27341,1395.83182,112,14.6,0.58,1.16,79.1,8.92,3
157.63184,26.29761,157.64388,26.31891,1398.3953,83,8.1,0.29,0.91,70.6,8.52,3
157.69775,26.27681,157.68058,26.3018,1363.60526,91,9.9,0.37,1.08,190.4,9.49,3
157.73792,25.91556,157.73541,25.91222,1354.573106,284,7.2,1.19,2.2,212.5,10.1,5
157.78564,26.23522,157.78002,26.26663,1331.2261,137,8.4,0.48,1.44,314.8,10.05,3
157.79584,25.87722,157.77333,25.88278,1391.243658,121,5.2,0.55,2.14,94.1,9.06,5
157.81624,25.87306,157.81624,25.86056,1391.652866,299,10.1,1.72,2.2,92.8,9.54,5
157.85156,25.84082,157.85817,25.88636,1391.04056,131,6.8,0.45,2.98,95,8.97,3
157.85156,26.25601,,,1395.77079,122,7.7,0.43,1.16,79.3,9.05,4
157.87354,26.90252,157.85011,26.86306,1333.51493,111,6.9,0.66,2.15,302.8,10.13,3
157.87354,26.52669,,,1333.17924,97,22.4,0.92,1.16,304.1,10.27,4
157.91165,25.98278,157.91208,25.98333,1391.10445,455,29.4,2.34,2.2,94.8,9.78,1
158.04932,26.52669,158.04529 ,26.48356 ,1333.33182,127,11.8,0.5,1.76,303.5,10.23,3
158.2251,27.02808,158.20903 ,27.03597 ,1381.94633,110,17.2,1.59,2.53,125.9,9.76,3
158.2251,26.94436,158.20573,26.93037,1317.31009,99,12,1,2.4,367,10.47,3
158.29584,26.96667,158.28835,26.96417,1363.21,367,16.5,3.23,2.56,191.8,10,1
158.31299,26.6101,,,1365.46683,109,7.6,0.37,1.64,183.7,9.62,4
158.35693,25.903,158.35104,25.87565,1332.11112,216,5.8,1.89,1.27,308.2,10.59,3
158.4668,25.79938,158.45851,25.81974,1364.09354,90,7.2,0.56,1.94,188.6,9.65,3
158.48877,26.11053,158.50225,26.10848,1391.65092,92,6.2,0.2,1.43,93,8.61,3
158.68652,26.88161,158.69044,26.88535,1349.29252,121,15.1,0.83,1.94,242.8,10.04,3
158.71457,26.66694,158.705,26.66528,1395.11236,131,6.4,0.8,2.23,81.4,9.01,1
158.77457,26.01472,158.77542,26.01583,1342.89815,427,5.7,1.73,2.48,266.8,10.4,1
158.7825,26.86306,158.79124,26.86695,1358.421,220,7.4,1.21,2.19,209.1,10.11,1
158.82494,26.83799,,,1361.408,75,9.5,1.01,1.74,198.3,9.95,4
158.90125,26.25417,158.8954,26.25805,1352.61709,340,8.4,1.5,2.27,230.4,10.2,1
158.92958,26.12833,158.92499,26.12583,1413.80329,84,21.9,1.7,2.18,20.9,8.33,1
159.00334,26.10417,159.00626,26.10722,1350.79908,149,5.4,0.67,2.21,237.2,9.82,1
159.01611,25.94448,158.98341,25.95133,1347.94974,93,13.6,0.84,1.71,247.8,10.06,3
159.03809,26.92344,159.03054,26.90663,1397.38822,88,13.9,0.65,1.7,73.9,8.91,3
159.06006,25.94448,,,1364.15458,85,6,0.24,2.03,188.4,9.29,4
159.38292,26.70389,159.38541,26.69611,1360.24658,153,13.8,2.45,2.65,202.5,9.75,1
159.48375,25.94194,159.4825,25.92861,1395.02559,20,7.8,0.31,2.39,81.7,8.81,1
159.63376,26.66139,159.62709,26.66055,1361.111029,215,6.5,0.96,2.22,190.9,9.92,5
159.74292,26.20639,159.74707,26.21611,1361.70275,178,6.8,0.45,2.16,197.2,9.89,1
159.74916,26.97528,159.73625,26.96917,1398.862354,70,6.4,0.5,2.06,68,8.74,5
159.76318,26.02747,159.73483,26.02875,1331.74491,92,7.9,0.3,1.67,309.7,9.8,3
159.78516,26.63096,,,1402.66776,114,6.7,0.26,1.67,56.6,9.12,4
159.80713,26.31842,159.76867,26.29924,1343.0059,98,15.6,1,1.59,266.4,10.2,3
159.93208,26.72861,159.92667,26.72722,1393.39252,216,15,0.96,2.22,87.2,9.16,1
159.94666,26.99306,159.93958,26.99139,1364.67253,174,7.3,0.76,1.97,186.5,9.77,1
159.98291,26.56838,159.97717,26.55964,1362.17093,116,19.7,1.69,1.5,195.5,10.16,3
160.02686,26.8189,160.01191,26.78577,1402.21,128,17.6,1.93,1.6,58.1,9.18,3
160.0475,26.50833,160.04083,26.49917,1355.867027,129,5.6,0.62,2.17,208.2,9.8,5
160.12917,26,160.13167,26.00167,1361.25035,300,5.5,1.23,2.41,198.9,10.04,1
160.26855,26.33923,160.24668,26.32778,1336.96342,248,6.2,0.2,2.7,289.5,9.57,3
160.28459,25.97778,160.28082,25.97361,1392.13611,95,7.4,0.25,1.89,91.4,8.71,1
160.57458,26.50417,160.565,26.49889,1353.729077,236,5.4,0.86,2.32,215.3,9.97,5
160.58167,26.52944,160.56459,26.52361,1353.729077,235,5.3,0.84,2.28,215.3,9.96,5
160.70082,26.53639,160.69791,26.54222,1353.367673,287,5.2,1.17,2.97,216.5,10.11,5
160.72041,25.74667,160.71208,25.7375,1378.792578,203,9.4,1.31,2.18,133.6,9.74,5
161.00667,26.43278,161.00792,26.435,1390.712048,213,12.6,1.78,2.16,95.8,9.59,5
161.01208,26.06222,161.02374,26.06139,1347.98738,194,10.3,0.86,2.68,247.6,10.07,1
161.13583,26.085,161.13126,26.085,1392.112374,118,6.5,0.7,2.22,91.4,9.14,5
161.15791,26.18333,161.15459,26.18167,1391.40425,447,16.8,6.94,2.18,93.8,10.14,1
161.18287,26.62904,161.19604,26.63484,1405.48301,77,20.2,1.17,1.64,47.4,8.79,3
161.45125,25.79806,161.45291,25.79667,1390.70493,168,8.2,1.06,2.48,96.1,9.35,1
161.53291,25.9025,161.53082,25.90417,1390.96369,334,7.8,2.96,2.13,95.3,8.61,1
161.54791,26.72889,161.54707,26.73278,1367.42268,248,15.7,2.56,2.22,176.7,10.53,1
161.58691,26.96528,161.62961,26.96625,1397.51029,101,13.8,0.85,1.99,73.5,9.03,3
161.61792,26.59889,161.61375,26.59167,1392.00423,239,11.5,1.2,2.11,91.8,9.37,1
161.67708,25.92778,161.67749,25.93111,1392.01787,368,7.4,0.86,2.03,91.8,9.22,1
161.7025,26.29972,161.70708,26.30833,1391.05904,116,5.9,0.56,2.41,94.9,9.06,1
161.76459,26.54944,161.76125,26.54333,1391.29976,242,51.7,8.22,2.31,94.2,10.22,1
161.78467,26.52669,161.78059,26.54038,1361.77421,58,6.9,0.28,1.68,197,9.39,3
161.85059,26.21443,161.8535,26.21598,1331.62284,71,6.9,0.24,1.98,310.2,9.7,3
161.87256,26.485,161.81935,26.49606,1342.45658,144,35.1,1.72,1.35,268.5,10.45,3
161.91293,26.29028,161.91417,26.29472,1390.0834,422,32.2,7.15,2.2,98.3,9.28,1
161.9165,26.65183,161.90972,26.65113,1349.71976,160,6.4,0.4,1.33,241.2,9.74,3
161.93791,26.73528,161.93459,26.74583,1369.833056,406,7.7,1.53,2.18,162.5,9.98,5
161.96709,26.25472,161.96877,26.25111,1389.740752,282,11.2,1.84,2.19,98.9,9.63,5
162.04416,26.16306,162.04416,26.16389,1403.10546,112,17.1,1.73,2.05,55.1,9.1,1
162.04834,26.19364,,,1403.06449,365,10.5,0.74,2.59,55.3,8.86,4
162.05792,26.61139,162.05167,26.60222,1366.9884,248,13.5,1.86,2.18,178.3,10.12,1
162.09875,26.41694,162.09834,26.41278,1391.218,160,13,1.87,2.12,94.4,9.37,1
162.11833,26.585,162.11417,26.58389,1391.23162,133,69.5,10.89,2.23,94.4,10.34,1
162.1582,26.8398,,,1349.41459,153,5.6,0.64,1.84,242.3,9.93,4
162.16376,26.78278,162.14751,26.79083,1390.20585,51,13.7,1.36,2.06,97.8,9.48,1
162.17917,26.05167,162.18375,26.05361,1385.15359,155,13.6,1.57,2.17,114.9,9.05,1
162.18018,26.65183,162.19312,26.62684,1350.23856,238,18.5,1.87,1.86,239.3,10.38,3
162.19667,26.75917,162.19458,26.76972,1390.55971,165,12.4,2.06,2.16,96.7,9.66,1
162.35974,26.81649,162.39871 ,26.81064 ,1316.99729,105,5.3,0.94,2.65,368.2,10.48,3
162.37042,26.01833,162.36792,26.01528,1389.083402,121,11.1,1.14,2.08,101,9.44,5
162.37166,26.02278,162.37042,26.03944,1390.003867,512,7.3,2.03,2.44,98.1,9.66,5
162.42188,26.38086,,,1402.08793,82,6.1,0.28,1.36,58.5,8.34,4
162.53415,26.45528,162.53166,26.45667,1391.43151,203,9.5,1.93,2.2,93.7,9.46,1
162.59457,26.73806,162.59457,26.73472,1390.4009,162,14.9,4.23,2.16,97.2,9.96,1
162.61624,26.34917,162.62125,26.34278,1391.74508,270,6.3,1.2,2.84,92.7,9.4,1
162.6479,26.39861,162.63416,26.40444,1347.54405,206,5,0.34,2.1,249.3,10,1
162.68555,26.54753,162.64735 ,26.56697 ,1361.83524,93,8.9,0.3,1.58,196.7,9.42,3
162.70752,26.56838,,,1361.86576,92,11.1,0.31,1.06,196.6,9.85,4
162.72949,27.00714,162.72982,27.03083,1317.27958,97,18.4,0.98,2.42,367.1,10.46,3
162.86133,25.96522,,,1392.10868,109,5.9,0.21,1.91,91.5,8.66,4
162.8833,26.90252,162.91363,26.88558,1333.48441,80,10.9,0.79,2.7,302.9,10.2,3
162.97119,26.6101,163.02903,26.62547,1357.7764,115,13.6,1.51,2.07,211.5,10.43,3
162.99316,26.92344,162.99453,26.92806,1398.09012,124,22.6,1.47,1.62,71.6,9.24,3
163.05833,26.01333,163.05792,26.00945,1390.32378,239,13.5,2.22,2.33,97.4,9.69,1
163.18903,26.19558,163.21107,26.20659,1323.13895,208,32,3.73,2.19,343.6,10.98,3
163.23486,26.485,163.24784,26.47303,1413.25736,66,23.8,0.83,1.09,22.5,8.15,3
163.24875,26.46861,163.24751,26.47278,1413.30624,63,20.3,1.23,2.22,22.3,8.25,1
163.27881,26.44333,163.31199,26.45872,1413.25736,64,16.9,0.83,1.1,22.5,7.99,3
163.27881,26.56838,163.29415 ,26.61496 ,1361.86576,119,8.5,0.44,1.06,196.6,9.77,3
163.3125,25.89806,163.31125,25.89694,1391.04542,187,29.5,5.14,2.42,95,9.99,1
163.41064,26.6101,163.41389,26.57948,1349.87235,282,9.4,0.82,1.68,240.6,10.03,3
163.41417,26.90833,163.41083,26.90944,1390.97731,271,12.2,2.77,2.51,95.3,9.76,1
163.43262,27.09091,163.456,27.09816,1316.9744,90,6.8,0.37,3.66,368.3,10.04,3
163.455,26.69194,163.46083,26.69778,1390.03805,101,7.2,0.6,2.2,98.4,9.12,1
163.54248,26.65183,,,1361.74369,82,9.6,0.25,1.65,197.1,9.64,4
163.56445,26.75622,163.59549,26.78835,1361.408,139,15.5,0.71,1.16,198.3,9.8,3
163.6084,25.96522,163.60239,25.97197,1364.15458,136,13.9,0.87,1.55,188.4,9.84,3
163.6084,26.75622,163.63161,26.7556,1361.53007,108,15.7,0.57,1.37,197.9,9.7,3
163.6084,26.17286,163.56173,26.2079,1364.79545,116,6.8,0.25,1.33,186.1,9.29,3
163.69629,26.04823,163.70188,26.04987,1392.3223,182,5.6,0.21,1.9,90.7,8.61,3
163.71333,26.98389,163.71167,26.98361,1375.76671,301,24.5,5.05,2.45,147.3,10.4,1
163.76221,25.94448,,,1392.1392,92,7.1,0.38,1.69,91.4,9.13,4
163.78418,26.6727,163.81978,26.64548,1361.80472,94,8.5,0.38,1.31,196.9,9.52,3
163.89404,26.31842,163.88274,26.34807,1364.76493,99,5,0.2,1.32,186.2,9.21,3
163.95996,26.58924,163.97081,26.57913,1362.04886,117,28.1,1.87,1.73,196,10.21,3
163.97626,26.57639,163.97083,26.57889,1390.15142,294,12,2.15,2.56,98,9.68,1
164.11377,27.06996,164.09294,27.06677,1316.9744,79,11.8,0.88,3.37,368.3,10.42,3
164.17969,26.33923,164.16836,26.33117,1337.05497,170,15.4,1.67,3.88,289.1,10.49,3
164.19876,26.86611,164.19876,26.86528,1408.52717,145,15.6,1.57,2.36,37.6,8.73,1
164.22363,26.92344,164.23263,26.94945,1397.96805,154,14.1,0.94,1.5,72,9.05,3
164.22363,26.33923,,,1337.17704,173,9.9,2.29,1.66,288.6,10.63,4
164.26758,26.92344,,,1381.85477,136,10.4,0.73,1.82,126.2,9.42,4
164.32458,26.34028,164.32417,26.34417,1373.11565,112,8,1,4.06,156.6,9.97,1
164.3335,25.8201,164.30875,25.82987,1392.26127,87,6.8,0.53,3.2,90.9,9.21,3
164.33749,26.81861,164.33875,26.82195,1390.29203,231,10.8,2.73,1.95,97.6,9.77,1
164.39841,26.21454,,,1355.73173,121,6.6,0.26,2.44,218.9,9.47,4
164.49666,26.64806,164.49916,26.63889,1390.248925,175,8.2,1.2,2.47,97.3,9.43,5
164.505,26.85861,164.50749,26.85556,1359.57822,132,6.4,1.15,1.69,204.9,10.19,1
164.50928,27.06996,164.50771,27.09068,1317.03544,85,10.7,0.8,4.15,368.1,10.37,3
164.54875,26.83167,164.54124,26.83389,1361.52001,115,6.7,0.39,1.89,197.9,9.53,1
164.56915,26.53361,164.55583,26.51805,1357.046645,137,4.6,0.57,2.35,204.3,9.75,5
164.5752,26.29761,164.58723,26.27168,1308.49051,123,7.3,1.5,3.3,403,10.72,3
164.66309,26.71445,164.67573,26.73919,1362.1099,89,10.8,0.55,1.55,195.8,9.67,3
164.76995,26.19427,164.79206,26.17148,1307.20878,137,12.7,1.13,2.01,408.4,10.61,3
164.77112,26.36137,164.72942,26.36872,1390.08689,155,13.8,2.09,3.23,98.2,9.67,3
164.79928,26.80011,164.80392,26.84273,1357.01346,96,15.5,0.92,1.37,214.3,9.98,3
164.88281,26.92344,,,1397.57133,122,10.7,0.39,1.43,73.3,9,4
164.92751,26.59333,164.90791,26.6025,1358.78053,249,5.1,1.12,1.9,207.8,9.97,1
164.96167,25.78528,164.96124,25.79167,1366.851893,59,6,0.64,3.08,172.2,9.65,5
165.03662,26.8607,165.05161,26.82792,1357.10502,85,13.1,0.74,1.87,213.9,9.88,3
165.03662,26.98621,165.01976,26.98122,1397.51029,89,10,0.66,1.92,73.5,8.91,3
165.12875,26.98722,165.11667,26.975,1391.461872,181,5,0.64,2.12,93.4,9.12,5
165.16846,26.6101,165.16173,26.65429,1317.73734,102,13.6,2.38,4.15,365.3,11.21,3
165.17041,26.68056,165.17708,26.68333,1391.11808,115,9.3,1.04,2.15,94.8,9.33,1
165.18699,26.33998,165.19035,26.34137,1369.25101,178,30,3.3,1.8,170.2,10.35,3
165.23438,26.33923,165.19223,26.32827,1337.42118,152,5.9,0.2,2.52,287.7,9.56,3
165.23438,26.63096,165.21734,26.58416,1317.67631,87,7.5,1.65,3.62,365.5,11.03,3
165.25635,26.31842,165.26255 ,26.32585 ,1345.05057,44,5,0.2,1.2,258.7,9.5,3
165.41016,26.96528,165.42284,26.97525,1316.69974,83,10.8,0.7,2.43,369.5,10.32,3
165.43542,26.31833,165.43166,26.31278,1389.97004,150,9.3,1.07,2.15,98.6,9.33,1
165.44666,26.05444,165.44833,26.05333,1359.47846,202,11.5,0.96,2.45,205.3,9.99,1
165.48209,26.44,165.47624,26.44194,1391.15895,231,8,1.72,2.26,94.6,9.41,1
165.54333,26.15417,165.53917,26.1525,1391.16804,170,7.5,0.88,2.04,94.6,9.36,1
165.5625,26.9,165.55917,26.90139,1391.361849,166,4.7,0.49,1.8,93.8,9.01,5
165.57959,26.90639,165.595,26.90417,1379.93234,98,13.5,1.28,1.83,132.8,9.61,1
165.73795,26.19364,165.69811,26.20134,1319.4463,93,5,0.54,2.05,358.4,10.18,2
165.89355,26.6727,165.89189,26.65528,1362.04886,102,8.5,0.31,1.26,196,9.43,3
165.91553,26.7771,165.88749,26.76926,1361.10282,147,21.6,1.2,1.42,199.4,10.14,3
165.99834,26.32806,165.99918,26.33333,1390.80025,27,14,1.27,2.14,95.8,9.4,1
166.00342,26.40168,,,1398.42582,170,6.5,0.23,1.37,70.5,8.42,4
166.00417,25.90389,166.00041,25.89278,1389.46695,156,6.6,0.54,2.07,100.3,9.09,1
166.06934,25.96522,166.07586,25.98875,1364.58182,135,11.8,0.84,1.68,186.9,9.82,3
166.24512,26.63096,166.27468,26.60719,1365.83304,120,8.8,0.58,1.48,182.4,9.66,3
166.2727,26.60793,166.27468,26.60719,1402.36259,90,23.5,2.32,2.71,57.6,9.25,3
166.43457,26.45389,166.44083,26.46056,1358.423296,245,6.8,1.17,2.45,199.8,10.04,5
166.57471,26.6101,166.58722,26.60418,1365.55839,114,8.7,0.67,2.09,183.4,9.7,3
166.65791,26.87861,166.66084,26.88833,1359.42208,267,9.4,1.59,2.01,205.5,10.1,1
166.70654,26.69357,166.6877,26.69748,1397.81547,129,15.3,0.73,1.2,72.5,8.95,3
166.73416,26.90944,166.73834,26.90833,1414.93937,51,6.2,0.3,1.63,17.2,7.6,1
166.77209,26.15194,166.77209,26.15055,1390.01992,114,14.2,1.93,2.33,98.5,9.58,1
166.81332,26.14028,166.82249,26.12944,1389.9247,131,17.5,2,2.24,98.8,9.65,1
166.86667,26.90333,166.86583,26.90306,1358.10062,276,7,1.08,2.2,210.3,10.03,1
166.89667,26.83111,166.89084,26.8325,1390.00178,144,7.7,1.24,3.73,98.5,9.44,1
166.99219,26.6727,167.00375,26.64491,1332.87406,132,18.1,0.63,1.45,305.3,10.48,3
166.99219,26.63096,166.99761,26.60676,1365.34476,130,14.3,0.93,1.38,184.1,9.85,3
167.02415,26.63472,167.03,26.64722,1356.93727,167,7,1.57,2.27,214.5,10.21,1
167.02415,26.73111,167.01958,26.73361,1357.52519,288,15.5,2.32,1.9,212.4,10.12,1
167.16,26.43972,167.16042,26.45833,1367.53239,108,6.3,0.66,2.1,176.3,9.75,1
167.16797,26.6727,167.17947,26.65811,1349.0178,102,8,0.2,1.34,242.1,9.44,3
167.21457,26.44083,167.20876,26.42583,1367.17225,60,4.9,0.4,2.31,171.1,9.44,5
167.23375,26.33445,167.23167,26.33778,1367.602555,130,6.1,0.74,2.38,169.7,9.7,5
167.23541,26.61278,167.23126,26.61056,1389.97911,480,69.8,18.62,2.1,98.6,10.5,1
167.24416,26.59306,167.23834,26.59583,1368.40631,174,22.5,6.95,4.64,173.2,10.59,1
167.25586,26.00672,167.30627,25.98628,1331.86698,72,12.1,0.59,1.85,309.2,10.09,3
167.25749,26.31,167.27292,26.30139,1367.14629,210,15.2,0.65,2.09,177.7,9.66,1
167.27957,26.95695,167.28624,26.97056,1356.76877,95,5.1,0.43,2.17,215.2,9.57,1
167.34375,26.54753,,,1397.29667,123,14,0.24,1.21,74.2,8.85,4
167.49756,26.98621,167.49502,26.97136,1316.42509,95,12.8,1.24,2.85,370.6,10.57,3
167.60742,26.50584,167.64017,26.51819,1332.4163,156,12.7,0.57,1.08,307.1,10.08,3
167.60742,27.00714,167.62685,27.00002,1332.4163,113,21.7,1.43,2.03,307.1,10.47,3
167.62939,26.6101,167.66077,26.60965,1332.56888,127,27.5,1.41,1.79,306.5,10.46,3
167.69458,26.37139,167.69792,26.375,1362.60494,207,6.2,0.86,2.17,186.1,9.85,5
167.75749,25.9075,167.75917,25.90667,1364.81676,497,16.7,2.65,2.13,186,10.32,1
167.7579,26.48361,167.77333,26.49583,1363.054189,50,4.5,0.31,2.16,184.6,9.4,5
167.77292,26.30083,167.77209,26.30222,1389.68899,177,5,0.45,2.01,99.6,9.07,1
167.82542,26.95389,167.79707,26.96083,1356.27648,157,11.2,1.8,2.42,217,10.29,1
167.82715,26.54753,167.80383,26.51614,1396.86942,137,17.3,0.67,1.19,75.6,8.95,3
167.87582,26.16861,167.87625,26.17056,1366.33531,310,11.5,1.98,2.05,180.6,10.16,1
167.87812,26.33749,167.87582,26.34872,1390.00297,174,14.9,2.08,3.65,98.5,9.68,3
167.90166,26.21334,167.90875,26.21278,1367.242486,113,5.1,0.51,2.08,170.9,9.55,5
167.91541,26.29333,167.91251,26.31111,1367.492758,74,6.9,0.59,2.2,170.1,9.6,5
168.00293,27.00714,,,1377.12455,86,19.3,1.23,1.72,142.6,9.76,4
168.11279,26.7771,168.08749,26.7803,1332.23319,103,23,0.92,1.27,307.8,10.28,3
168.11583,25.93389,168.11874,25.93,1366.544842,287,5.5,0.88,2.1,173.2,9.79,5
168.18958,25.86639,168.18083,25.86389,1355.120564,176,5.2,0.69,2.25,210.7,9.86,5
168.19958,25.91778,168.19875,25.91805,1376.90029,177,7.5,0.6,1.94,143.4,9.44,1
168.22266,27.00714,168.21777,27.05751,1332.20267,115,13,0.55,1.86,307.9,10.43,3
168.29416,26.99278,168.29124,26.99278,1391.11354,222,12.2,1.49,3.06,94.8,9.54,1
168.31055,27.09091,168.3235,27.08228,1316.08939,114,18.7,2.88,2.92,371.9,10.94,3
168.33083,25.86194,168.32957,25.86222,1390.51887,204,20.6,2.91,2.14,96.8,9.81,1
168.35449,26.92344,168.34528,26.90965,1396.71683,133,29,2.03,1.45,76.1,9.43,3
168.37646,26.27861,168.39783,26.32086,1309.3755,98,5,0.57,4.94,399.4,10.29,2
168.45624,25.82167,168.46416,25.82528,1354.57779,140,5,0.53,2.72,223.2,9.58,1
168.46436,26.98621,168.44691,26.98708,1315.90629,125,18.5,2.08,2.53,372.7,10.8,3
168.48633,26.88161,168.47059,26.86985,1380.42045,120,16.3,0.78,1.28,131.2,9.49,3
168.48633,26.29761,168.4773,26.30029,1309.03983,189,10.4,1.66,4.68,400.7,10.76,3
168.57422,26.29761,168.55602,26.27208,1336.84134,192,9.4,0.92,2.22,289.9,10.23,3
168.68408,27.02808,,,1396.6558,140,26,2.73,2.24,76.3,9.57,4
168.87625,26.42167,168.8725,26.42583,1380.58508,200,5.2,0.2,2.28,130.6,8.91,1
168.89041,26.96833,168.88916,26.96861,1375.89109,88,5,0.62,3.17,146.9,9.49,1
169.01367,27.09091,168.96625,27.06693,1315.72318,150,25.1,3.54,3.11,373.4,11.03,3
169.03917,26.45139,169.04375,26.46111,1379.99937,223,10.1,0.86,2.14,132.6,9.54,1
169.05333,26.77833,169.05333,26.77944,1392.89605,149,10.5,1.83,2.26,88.8,9.52,1
169.16959,26.98861,169.16208,26.98556,1388.08195,114,16.2,6.06,2.38,105,10.19,1
169.17166,26.37222,169.18042,26.37167,1382.8297,100,5.3,1.35,1.89,122.9,9.67,1
169.28917,25.84861,169.29042,25.84611,1388.879523,280,14.4,2.46,2.28,101.6,9.78,5
169.29932,26.6101,169.31567,26.60913,1357.22709,138,10.9,1.14,2.15,213.5,10.3,2
169.39375,26.57445,169.41208,26.585,1356.091558,30,5.3,0.3,2.25,207.5,9.48,5
169.41585,26.79889,169.41501,26.80639,1354.624815,454,6.6,1.61,2.39,212.3,10.23,5
169.42375,26.8575,169.41542,26.86028,1373.451583,149,6,0.68,2.06,150.8,9.56,5
169.42876,27.09139,169.41376,27.08917,1383.28305,257,13.7,1.62,6.17,121.3,9.83,1
169.54793,26.37556,169.54709,26.38583,1407.19222,14,10.8,0.83,1.96,41.9,8.41,1
169.56459,26.62,169.56168,26.62,1381.9193,260,22.7,3.05,2.45,126,10.04,1
169.62891,26.71445,169.64408,26.70325,1376.66678,93,7,0.33,1.44,144.2,9.19,3
169.64375,26.17167,169.63916,26.17833,1354.073452,167,5,0.66,2.29,214.2,9.85,5
169.65791,26.84778,169.65833,26.85778,1388.35783,101,37.4,4.78,3.47,104.1,10.09,1
169.73126,26.13889,169.72749,26.14361,1383.12141,58,6.7,0.28,2.07,121.9,8.98,1
169.73877,26.90252,169.73442,26.85565,1332.23319,113,18.4,0.84,1.32,307.8,10.24,3
169.7775,26.52972,169.77208,26.53,1383.586111,99,3.5,0.37,2.33,118.3,9.09,5
169.82666,26.98621,169.83952 ,27.02270 ,1316.05887,119,8.5,1.65,3.02,372.1,10.87,3
169.97792,26.54472,169.97041,26.55139,1389.00045,119,7.2,1.15,2.97,101.9,9.05,1
170.00244,26.98621,170.03452 ,26.99453 ,1396.89994,133,15.9,0.7,1.82,75.5,9.39,3
170.04639,26.98621,170.03452,26.99453,1380.75614,92,7.1,0.48,2.07,130,9.66,3
170.06166,26.24333,170.05916,26.24889,1352.47113,176,9.3,1.09,2.02,230.9,10.08,1
170.06291,26.43555,170.06084,26.42472,1351.657923,196,5.4,0.81,2.38,222.2,9.97,5
170.14041,26.96528,170.13249,26.96278,1413.30624,194,144.1,19.6,2.13,22.3,9.65,1
